row_id,column,entity_label,entity_text,confidence,start,end
4,symptom_free_text,time,3am,0.9223775863647461,46,49
6,additional_comments,first_name,Kathleen,0.9978007674217224,66,74
6,additional_comments,last_name,Schmidt,0.9904836416244507,75,82
7,symptom_free_text,time,6,0.5668604969978333,36,37
8,symptom_free_text,time,7,0.6572370529174805,36,37
9,symptom_free_text,email,jrosario@example.org,0.995453953742981,73,93
14,symptom_free_text,time,5,0.5945664644241333,36,37
15,symptom_free_text,time,7,0.7030501961708069,36,37
15,symptom_free_text,time,5 hours,0.5295408368110657,38,45
17,symptom_free_text,time,7,0.6431341171264648,36,37
18,symptom_free_text,first_name,Melissa,0.9974849224090576,64,71
18,symptom_free_text,last_name,Green,0.9936042428016663,72,77
22,symptom_free_text,time,5,0.5665790438652039,36,37
25,symptom_free_text,time,3am,0.9223775863647461,46,49
28,symptom_free_text,time,3am,0.9223775863647461,46,49
29,symptom_free_text,time,3am,0.9223775863647461,46,49
29,additional_comments,street_address,75989 Heather Mission,0.9862481951713562,70,91
29,additional_comments,city,Romerobury,0.9928842782974243,93,103
29,additional_comments,state,UT,0.9916585087776184,105,107
29,additional_comments,postcode,69079,0.9930427074432373,108,113
31,symptom_free_text,first_name,Bryan,0.9973933696746826,66,71
31,symptom_free_text,last_name,Frank,0.9702657461166382,72,77
37,symptom_free_text,time,8,0.49020978808403015,36,37
45,symptom_free_text,email,wesley33@example.net,0.9972583055496216,71,91
47,symptom_free_text,time,6,0.48824343085289,36,37
48,symptom_free_text,time,7,0.6743069291114807,36,37
48,symptom_free_text,time,hours,0.4997939169406891,40,45
48,additional_comments,email,dbaker@example.org,0.9969876408576965,53,71
49,symptom_free_text,time,7,0.6927995085716248,36,37
49,symptom_free_text,time,hours,0.5164249539375305,40,45
50,symptom_free_text,time,3am,0.9223775863647461,46,49
52,symptom_free_text,time,3am,0.9223775863647461,46,49
54,symptom_free_text,time,3am,0.9223775863647461,46,49
58,symptom_free_text,time,3am,0.9223775863647461,46,49
61,symptom_free_text,time,3am,0.9223775863647461,46,49
61,additional_comments,first_name,Nicole,0.9977554678916931,66,72
61,additional_comments,last_name,Dickerson,0.9960598349571228,73,82
63,symptom_free_text,time,8,0.6278438568115234,36,37
70,symptom_free_text,time,8,0.49020978808403015,36,37
72,symptom_free_text,time,3am,0.9223775863647461,46,49
73,additional_comments,street_address,5378 Amy Burgs Suite 400,0.9538442492485046,64,88
73,additional_comments,city,South Nicole,0.9695078134536743,90,102
73,additional_comments,state,SD,0.991513192653656,104,106
73,additional_comments,postcode,55553,0.9813119769096375,107,112
75,symptom_free_text,time,4,0.6233018040657043,36,37
75,symptom_free_text,time,5 hours,0.5467201471328735,38,45
78,additional_comments,street_address,46557 Daniel Common Suite 156,0.9938705563545227,76,105
78,additional_comments,city,New Tamaraborough,0.9605485200881958,107,124
78,additional_comments,state,MS,0.9863778352737427,126,128
78,additional_comments,postcode,47245,0.9893794655799866,129,134
80,symptom_free_text,time,3am,0.9223775863647461,46,49
84,symptom_free_text,time,3am,0.9223775863647461,46,49
88,symptom_free_text,time,4,0.5931033492088318,36,37
89,symptom_free_text,time,6,0.5837823748588562,36,37
92,symptom_free_text,time,3am,0.9223775863647461,46,49
93,additional_comments,street_address,5043 Brent Rapid,0.9980596899986267,76,92
93,additional_comments,city,North Nathan,0.9760149717330933,94,106
93,additional_comments,state,VI,0.49291229248046875,108,110
93,additional_comments,postcode,23800,0.9548692107200623,111,116
94,symptom_free_text,time,4,0.6040327548980713,36,37
96,additional_comments,first_name,Jennifer,0.9975829124450684,72,80
96,additional_comments,last_name,Watson,0.989694356918335,81,87
98,symptom_free_text,time,4,0.5992832183837891,36,37
98,symptom_free_text,time,hours,0.49589428305625916,40,45
102,additional_comments,ipv4,872.793.0682,0.7054596543312073,86,98
105,additional_comments,email,tinavasquez@example.org,0.9952069520950317,74,97
109,symptom_free_text,street_address,24966 Woodard Curve,0.9967392086982727,66,85
109,symptom_free_text,city,Perezton,0.9961764812469482,87,95
109,symptom_free_text,state,AK,0.9971224665641785,97,99
109,symptom_free_text,postcode,07630,0.9934985637664795,100,105
110,symptom_free_text,street_address,08599 Guzman Path Suite 320,0.990642249584198,62,89
110,symptom_free_text,city,North,0.8462543487548828,91,96
110,symptom_free_text,city,Amandafurt,0.554835319519043,97,107
110,symptom_free_text,state,HI,0.9904332160949707,109,111
110,symptom_free_text,postcode,31652,0.9939898252487183,112,117
122,symptom_free_text,time,3am,0.9223775863647461,46,49
127,symptom_free_text,time,4,0.5931033492088318,36,37
128,symptom_free_text,time,3am,0.9223775863647461,46,49
129,symptom_free_text,street_address,279 Bernard Passage Suite 924,0.9974689483642578,64,93
129,symptom_free_text,city,Lake Jesse,0.9877521991729736,95,105
129,symptom_free_text,state,GA,0.997014045715332,107,109
129,symptom_free_text,postcode,14908,0.9934583306312561,110,115
132,additional_comments,street_address,4922 Jennifer Rapids,0.9961023926734924,76,96
132,additional_comments,city,Eugenemouth,0.9913634061813354,98,109
132,additional_comments,state,ID,0.9577025771141052,111,113
132,additional_comments,postcode,34407,0.9899269342422485,114,119
133,symptom_free_text,time,5,0.577226996421814,36,37
134,symptom_free_text,time,6,0.5834845304489136,36,37
141,symptom_free_text,time,3am,0.9223775863647461,46,49
143,symptom_free_text,time,7,0.6572370529174805,36,37
148,symptom_free_text,time,3am,0.9223775863647461,46,49
150,symptom_free_text,street_address,524 Brown Views,0.9982426762580872,57,72
150,symptom_free_text,city,Kristenberg,0.9933491349220276,74,85
